TTL=1, Proto=UDP, Hop=10.209.64.1, RTT=15.05ms
TTL=1, Proto=TCP, Hop=10.209.64.1, RTT=6.74ms
TTL=1, Proto=ICMP, Hop=10.209.64.1, RTT=6.76ms
TTL=1, Proto=UDP, Hop=10.209.64.1, RTT=7.37ms
TTL=1, Proto=TCP, Hop=10.209.64.1, RTT=6.80ms
TTL=1, Proto=ICMP, Hop=10.209.64.1, RTT=7.40ms
TTL=2, Proto=UDP, Hop=10.213.33.33, RTT=7.87ms
TTL=2, Proto=TCP, Hop=10.213.33.33, RTT=6.94ms
TTL=2, Proto=ICMP, Hop=10.213.33.25, RTT=7.15ms
TTL=2, Proto=UDP, Hop=10.213.33.33, RTT=7.62ms
TTL=2, Proto=TCP, Hop=10.213.33.33, RTT=6.90ms
TTL=2, Proto=ICMP, Hop=10.213.33.25, RTT=7.46ms
TTL=3, Proto=UDP, Hop=*, RTT=1046.08ms
TTL=3, Proto=TCP, Hop=10.213.32.41, RTT=12.97ms
TTL=3, Proto=ICMP, Hop=10.213.32.41, RTT=17.61ms
TTL=3, Proto=UDP, Hop=*, RTT=1046.01ms
TTL=3, Proto=TCP, Hop=*, RTT=1033.54ms
TTL=3, Proto=ICMP, Hop=10.213.32.41, RTT=22.58ms
TTL=4, Proto=UDP, Hop=*, RTT=1046.37ms
TTL=4, Proto=TCP, Hop=*, RTT=1049.08ms
TTL=4, Proto=ICMP, Hop=10.213.32.21, RTT=13.53ms
TTL=4, Proto=UDP, Hop=*, RTT=1045.32ms
TTL=4, Proto=TCP, Hop=*, RTT=1053.18ms
TTL=4, Proto=ICMP, Hop=10.213.32.21, RTT=12.92ms
TTL=5, Proto=UDP, Hop=*, RTT=1031.83ms
TTL=5, Proto=TCP, Hop=*, RTT=1021.65ms
TTL=5, Proto=ICMP, Hop=202.76.48.118, RTT=42.98ms
TTL=5, Proto=UDP, Hop=*, RTT=1052.45ms
TTL=5, Proto=TCP, Hop=*, RTT=1019.13ms
TTL=5, Proto=ICMP, Hop=202.76.48.118, RTT=54.38ms
TTL=6, Proto=UDP, Hop=*, RTT=1015.04ms
TTL=6, Proto=TCP, Hop=*, RTT=1043.08ms
TTL=6, Proto=ICMP, Hop=202.76.18.76, RTT=50.86ms
TTL=6, Proto=UDP, Hop=*, RTT=1018.78ms
TTL=6, Proto=TCP, Hop=*, RTT=1023.16ms
TTL=6, Proto=ICMP, Hop=202.76.18.76, RTT=52.17ms
TTL=7, Proto=UDP, Hop=*, RTT=1032.63ms
TTL=7, Proto=TCP, Hop=*, RTT=1011.03ms
TTL=7, Proto=ICMP, Hop=202.76.18.62, RTT=48.93ms
TTL=7, Proto=UDP, Hop=*, RTT=1018.22ms
TTL=7, Proto=TCP, Hop=*, RTT=1027.09ms
TTL=7, Proto=ICMP, Hop=202.76.18.62, RTT=53.17ms
TTL=8, Proto=UDP, Hop=*, RTT=1035.75ms
TTL=8, Proto=TCP, Hop=*, RTT=1023.79ms
TTL=8, Proto=ICMP, Hop=123.255.91.10, RTT=58.53ms
TTL=8, Proto=UDP, Hop=*, RTT=1014.92ms
TTL=8, Proto=TCP, Hop=*, RTT=1021.20ms
TTL=8, Proto=ICMP, Hop=123.255.91.10, RTT=48.92ms
TTL=9, Proto=UDP, Hop=*, RTT=1034.35ms
TTL=9, Proto=TCP, Hop=*, RTT=1045.99ms
TTL=9, Proto=ICMP, Hop=192.178.111.169, RTT=52.15ms
TTL=9, Proto=UDP, Hop=*, RTT=1057.65ms
TTL=9, Proto=TCP, Hop=*, RTT=1026.60ms
TTL=9, Proto=ICMP, Hop=192.178.111.169, RTT=52.88ms
TTL=10, Proto=UDP, Hop=*, RTT=1067.66ms
TTL=10, Proto=TCP, Hop=*, RTT=1028.20ms
TTL=10, Proto=ICMP, Hop=172.253.69.244, RTT=53.79ms
TTL=10, Proto=UDP, Hop=*, RTT=1025.85ms
TTL=10, Proto=TCP, Hop=*, RTT=1024.30ms
